::SOS PWR RTG
--SOSP_Rank	*Team	Region	Seed	SOSP_Rating	SOSP_Record
1	Michigan St	Midwest	3	108.3	24-8
2	Wisconsin	West	5	108.2	23-11
3	Ohio State	West	2	107.7	26-7
4	Syracuse	East	4	107.6	26-9
5	Indiana	East	1	107.5	27-6
6	Michigan	South	4	107.4	25-7
7	Minnesota	South	11	107.3	20-12
8	Louisville	Midwest	1	107.2	29-5
9	Illinois	East	7	107.1	21-12
10	Georgetown	South	2	107.0	25-6
11	Marquette	East	3	106.9	23-8
12	Duke	Midwest	2	106.7	27-5
13	New Mexico	West	3	106.6	29-5
14	San Diego St	South	7	106.6	20-10
15	N Carolina	South	8	106.6	23-10
16	Kansas St	West	4	106.6	26-7
17	Villanova	South	9	106.6	19-13
18	Notre Dame	West	7	106.4	25-9
19	Cincinnati	Midwest	10	106.4	22-11
20	Kansas	South	1	106.3	29-5
21	Miami (FL)	East	2	106.2	27-6
22	Oklahoma St	Midwest	5	106.1	24-8
#23	Boise State	West	13	106.1	19-10
25	UNLV	East	5	106.0	24-9
27	Colorado	East	10	106.0	21-11
28	Iowa State	West	10	106.0	22-11
29	Pittsburgh	West	8	105.9	24-8
30	Oklahoma	South	10	105.9	20-11
31	UCLA	South	6	105.8	25-9
32	Butler	East	6	105.8	25-8
33	NC State	East	8	105.8	24-10
34	Colorado St	Midwest	8	105.8	23-8
37	Arizona	West	6	105.7	25-7
40	California	East	12	105.4	20-11
42	Florida	South	3	105.3	26-7
44	Missouri	Midwest	9	105.2	23-10
50	Oregon	Midwest	12	104.7	26-8
62	VCU	South	5	104.4	26-8
66	Temple	East	9	104.4	23-9
67	Saint Louis	Midwest	4	104.4	27-6
68	La Salle	West	13	104.3	21-9
69	Creighton	Midwest	7	104.3	27-7
73	Wichita St	West	9	104.1	26-8
75	Mississippi	West	12	104.0	26-8
76	Gonzaga	West	1	104.0	30-2
93	St Marys	Midwest	11	103.4	26-6
108	Memphis	Midwest	6	102.3	30-4
116	Iona	West	15	101.5	20-13
120	N Mex State	Midwest	13	101.4	23-10
125	Pacific	East	15	101.2	20-12
128	Belmont	West	11	101.0	24-6
133	Valparaiso	Midwest	14	100.8	25-7
134	Akron	South	12	100.8	25-6
137	Harvard	West	14	100.7	18-9
154	Bucknell	East	11	100.1	27-5
#157	Middle Tenn	Midwest	11	100.0	28-5
171	S Dakota St	South	13	99.5	22-9
181	NW State	South	14	99.3	19-8
195	Davidson	East	14	98.9	25-7
196	W Kentucky	South	16	98.9	19-15
202	Albany	Midwest	15	98.8	24-10
210	James Mad	East	16	98.5	20-14
225	Fla Gulf Cst	South	15	98.3	22-10
#232	LIU-Brooklyn	East	16	98.2	20-13
241	Montana	East	13	98.0	23-6
298	NC A&T	Midwest	16	96.2	18-16
#313	Liberty	Midwest	16	95.8	12-20
336	Southern	West	16	94.7	20-9

::PPG
--PPG_Rank	*Team	Region	Seed	PPG_Overall	PPG_Last3	PPG_Last1	PPG_Home	PPG_Away
1	Iona	West	15	80.7	76.0	60.0	86.3	77.5
2	Indiana	East	1	80.0	69.3	56.0	83.8	74.8
3	Iowa State	West	10	79.6	76.3	73.0	84.4	74.6
#4	LIU-Brooklyn	East	16	79.5	92.0	91.0	78.8	79.8
5	Duke	Midwest	2	78.3	76.0	74.0	81.6	74.9
6	NW State	South	14	78.0	69.0	68.0	82.3	75.4
7	Mississippi	West	12	77.9	64.7	66.0	82.6	73.2
8	NC State	East	8	77.5	75.3	71.0	84.4	70.6
9	VCU	South	5	77.3	69.7	56.0	79.4	75.2
12	Belmont	West	11	76.9	76.7	70.0	83.1	72.8
13	Gonzaga	West	1	76.8	70.7	65.0	83.0	71.4
14	Missouri	Midwest	9	76.2	62.0	62.0	81.5	70.6
15	N Carolina	South	8	76.2	79.7	77.0	79.1	73.5
17	Memphis	Midwest	6	75.9	85.7	91.0	78.3	73.1
18	Creighton	Midwest	7	75.4	65.7	68.0	80.1	70.6
18	Kansas	South	1	75.4	83.0	70.0	78.9	71.8
22	St Marys	Midwest	11	74.9	66.7	51.0	79.2	70.6
24	UCLA	South	6	74.7	71.7	69.0	79.7	69.1
26	Michigan	South	4	74.4	71.0	59.0	76.2	72.6
31	Louisville	Midwest	1	73.6	73.7	78.0	75.2	72.1
35	Arizona	West	6	73.3	72.0	64.0	75.9	70.6
37	Davidson	East	14	73.1	75.0	74.0	76.8	70.9
45	Temple	East	9	72.8	77.3	74.0	75.6	69.5
47	S Dakota St	South	13	72.6	70.3	73.0	75.2	71.0
48	La Salle	West	13	72.4	65.3	58.0	77.9	68.2
51	Oklahoma St	Midwest	5	72.4	69.0	57.0	73.9	70.6
52	Fla Gulf Cst	South	15	72.3	77.7	88.0	71.0	73.4
53	Colorado St	Midwest	8	72.3	69.7	65.0	75.3	69.4
58	Akron	South	12	71.9	63.7	65.0	74.0	70.0
63	Oregon	Midwest	12	71.7	74.0	78.0	73.1	70.1
64	Florida	South	3	71.6	68.0	63.0	75.0	68.8
65	Valparaiso	Midwest	14	71.5	69.0	62.0	72.8	69.9
68	Syracuse	East	4	71.3	60.3	61.0	75.9	65.9
#71	Middle Tenn	Midwest	11	71.2	69.3	57.0	78.8	64.9
73	Oklahoma	South	10	71.1	72.0	66.0	74.4	68.4
75	UNLV	East	5	71.1	67.7	56.0	73.1	68.4
#76	Boise State	West	13	71.1	66.7	67.0	75.6	67.4
87	Montana	East	13	70.5	66.7	67.0	70.8	70.3
92	Notre Dame	West	7	70.4	66.3	57.0	74.0	65.1
101	Miami (FL)	East	2	69.9	79.0	87.0	72.8	67.5
107	Pittsburgh	West	8	69.6	71.0	59.0	71.1	67.6
109	Wichita St	West	9	69.4	66.7	65.0	72.9	66.3
110	Ohio State	West	2	69.3	60.7	50.0	73.6	64.1
117	Marquette	East	3	69.0	64.7	65.0	73.4	64.3
121	Harvard	West	14	68.9	64.3	65.0	73.8	64.4
125	Saint Louis	Midwest	4	68.7	67.0	62.0	70.5	66.3
126	Kansas St	West	4	68.7	62.7	54.0	73.4	64.2
128	Illinois	East	7	68.6	56.7	64.0	69.8	67.6
132	Minnesota	South	11	68.4	57.7	49.0	73.2	63.0
133	Butler	East	6	68.4	66.0	56.0	70.3	66.9
136	San Diego St	South	7	68.3	62.7	50.0	73.3	64.4
140	Colorado	East	10	68.2	67.0	69.0	74.7	62.4
143	N Mex State	Midwest	13	68.0	67.7	64.0	69.8	66.5
155	California	East	12	67.5	67.0	69.0	68.9	66.1
157	Michigan St	Midwest	3	67.5	62.7	58.0	70.5	64.1
158	New Mexico	West	3	67.4	60.7	63.0	70.0	64.9
159	Villanova	South	9	67.4	62.7	55.0	67.7	67.2
#162	Liberty	Midwest	16	67.4	71.0	87.0	70.5	65.5
165	Bucknell	East	11	67.2	66.7	64.0	68.4	66.2
172	W Kentucky	South	16	67.0	61.7	65.0	68.9	65.7
179	Pacific	East	15	66.8	63.3	64.0	72.2	63.2
181	Cincinnati	Midwest	10	66.6	55.0	43.0	70.4	62.1
183	Southern	West	16	66.6	59.3	45.0	69.1	65.5
203	Wisconsin	West	5	65.5	59.7	43.0	70.2	60.2
217	James Mad	East	16	65.2	66.7	70.0	68.1	63.1
233	Georgetown	South	2	64.6	59.3	55.0	65.4	63.6
237	Albany	Midwest	15	64.4	54.7	53.0	64.6	64.3
286	NC A&T	Midwest	16	61.6	65.3	57.0	63.5	60.7

::OPPG
--OPPG_Rank	*Team	Region	Seed	OPPG_Overall	OPPG_Last3	OPPG_Last1	OPPG_Home	OPPG_Away
3	Florida	South	3	53.7	58.3	66.0	49.4	57.3
5	Pittsburgh	West	8	55.4	64.0	62.0	53.4	58.1
8	Georgetown	South	2	55.7	46.7	58.0	53.9	57.9
9	Wisconsin	West	5	55.9	55.0	50.0	51.9	60.4
12	Bucknell	East	11	57.7	56.0	56.0	56.9	58.4
